Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000030126;3;0017;0;;2;2;0;1;0;200;1;; -1;1;0;1;50
202000030320;4;Rue René BARTHELEMY;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000030415;4;Rue Emmanuel Tolinga;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000030440;4;rue acajou;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000030469;2;0001;0;;4;1;0;1;3;0;2;; -1;1;0;1;50
202000030608;4;Route de la distillerie; -1;;2;2;0;1;(1);(1);1;; -1;2;5;1;50
202000030765;4;18 route degrad Saramaca;0;;2;2;0;1;(1);(1);2;; -1;2;0;3;70
202000030984;4;PREVOT (ERNEST);0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000031025;4;; -1;;2;2;0;1;(1);(1);3;; -1;1;0;1;80
202000031026;2;1; -1;;2;2;0;1;11;250;1;; -1;2;0;2;80
202000031036;3;0001;0;;2;2;0;1;1;900;1;; -1;2;0;1;50
202000031553;2;1; -1;;2;2;0;1;254;0;1;;7;1;0;1;70
202000031784;4;Rue du 19 avril 2000; -1;;2;2;0;1;(1);(1);1;; -1;1;9;1;50
202000031785;3;1;0;;2;1;0;1;6;950;1;; -1;1;0;1;70
202000031818;2;0001;0;;3;4;0;1;1;800;1;; -1;2;0;3;90
202000031928;3;0018;0;;2;2;0;1;3;50;1;; -1;1;5;1;50
202000031929;3;0017;0;;2;2;1;1;2;300;1;; -1;1;0;1;50
202000031930;3;0003;0;;2;2;2;1;3;400;1;; -1;1;0;1;50
202000031931;3;0001;0;;2;2;0;1;1;900;1;; -1;1;0;1;50
202000031932;3;0001;0;;2;2;0;1;3;400;1;; -1;1;5;6;50
202000032027;4;; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000032053;4;BARTHELEMY (RENE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000032481;3;2; -1;;2;2;0;1;7;800;1;; -1;1;0;1;50
202000032483;3;1; -1;;2;2;0;1;9;200;1;; -1;1;0;1;50
202000032547;3;0018;0;;2;2;0;1;1;900;1;; -1;1;0;1;50
202000032599;3;2; -1;;2;2;0;1;8;750;1;; -1;1;0;1;50
202000033329;2;1; -1;;2;2;0;1;7;0;1;; -1;1;0;1;70
202000033499;2;1; -1;;2;2;0;1;243;(1);1;; -1;1;0;8;80
202000033628;4;ARAGO (FRANCOIS);0;;1;1;0;1;(1);(1);1;; -1;1;9;1;50
202000034318;3;0017;0;;2;1;0;1;1;700;1;; -1;1;0;1;50
202000034478;4;Chemin de troubiran;0;; -1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000034598;4;97 avenue François Mitterand; -1;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
202000034627;4;16 avenue gaston Monerville; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000034673;3;0003;0;;2;2;1;1;2;0;1;; -1;1;0;5;50
202000034675;2;0001;0;;4;2;0;1;4;50;2;; -1;1;0;1;70
202000034730;4;Cité Brutus;0;;2; -1;0;1;(1);(1);1;; -1;1;0;1;50
202000035035;4;Cité sainte Rose;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000035134;4;DE GAULLE (AVENUE);0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000035158;3;0001;0;;2;2;0;1;5;500;1;; -1;1;0;1;50
202000035768;3;0025; -1;;2;2;0;1;4;300;1;; -1;1;0;1;80
202000036039;2;1;0;;2;2;0;1;1;50;1;; -1;1;0;1;50
202000036040;3;0017;0;;2;2;0;1;2;500;1;; -1;1;0;1;50
202000036041;2;0001;0;;2;2;0;1;3;0;1;; -1;1;9;1;50
202000036159;2;1; -1;;2;2;0;1;6;850;1;; -1;1;0;1; -1
202000036184;3;6; -1;;2;2;0;1;1;450;1;; -1;1;0;1;80
202000036646;3;RD1;0;;2;2;1;1;5;150;1;; -1;1;0;5;50
202000036655;4;rue tourtet; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000036702;2;0001;0;;1;0;0;1;4;50;2;; -1;1;0;1;50
202000036819;2;1; -1;;2;2;0;1;88;800;1;; -1;1;0;3;80
