;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;2018;Maladie de Parkinson;France métropolitaine;52,02
;;;2018;Maladie hypertensive;France métropolitaine;237,71
;;;2018;Maladies vasculaires cérébrales;France métropolitaine;139,70
;;;2018;Sida;France métropolitaine;1,04
;;;2018;Alzheimer;Grand Est;125,32
;;;2018;Asthme;Grand Est;3,07
;;;2018;Cancer de la prostate;Grand Est;44,13
;;;2018;Cancer de la trachée, des bronches et du poumon;Grand Est;164,01
;;;2018;Cancer du côlon-rectum;Grand Est;82,16
;;;2018;Cancer du sein;Grand Est;51,49
;;;2018;Cardiopathies ischémiques;Grand Est;162,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Grand Est;238,38
;;;2018;Diabète;Grand Est;226,69
;;;2018;Maladie chronique du foie;Grand Est;60,19
;;;2018;Maladie de Parkinson;Grand Est;51,46
;;;2018;Maladie hypertensive;Grand Est;334,31
;;;2018;Maladies vasculaires cérébrales;Grand Est;150,45
;;;2018;Sida;Grand Est;0,88
;;;2018;Alzheimer;Guadeloupe;119,17
;;;2018;Asthme;Guadeloupe;9,26
;;;2018;Cancer de la prostate;Guadeloupe;103,58
;;;2018;Cancer de la trachée, des bronches et du poumon;Guadeloupe;58,85
;;;2018;Cancer du côlon-rectum;Guadeloupe;51,81
;;;2018;Cancer du sein;Guadeloupe;45,06
;;;2018;Cardiopathies ischémiques;Guadeloupe;75,34
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Guadeloupe;103,21
;;;2018;Diabète;Guadeloupe;270,59
;;;2018;Maladie chronique du foie;Guadeloupe;41,87
;;;2018;Maladie de Parkinson;Guadeloupe;63,95
;;;2018;Maladie hypertensive;Guadeloupe;361,05
;;;2018;Maladies vasculaires cérébrales;Guadeloupe;187,37
;;;2018;Sida;Guadeloupe;5,73
;;;2018;Alzheimer;Guyane;42,07
;;;2018;Asthme;Guyane;1,15
;;;2018;Cancer de la prostate;Guyane;112,62
;;;2018;Cancer de la trachée, des bronches et du poumon;Guyane;39,20
;;;2018;Cancer du côlon-rectum;Guyane;46,32
;;;2018;Cancer du sein;Guyane;32,06
;;;2018;Cardiopathies ischémiques;Guyane;85,07
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Guyane;117,33
;;;2018;Diabète;Guyane;229,68
;;;2018;Maladie chronique du foie;Guyane;30,16
;;;2018;Maladie de Parkinson;Guyane;22,77
;;;2018;Maladie hypertensive;Guyane;330,74
;;;2018;Maladies vasculaires cérébrales;Guyane;183,24
;;;2018;Sida;Guyane;10,23
;;;2018;Alzheimer;Hauts-de-France;137,54
;;;2018;Asthme;Hauts-de-France;4,69
;;;2018;Cancer de la prostate;Hauts-de-France;53,68
;;;2018;Cancer de la trachée, des bronches et du poumon;Hauts-de-France;162,57
;;;2018;Cancer du côlon-rectum;Hauts-de-France;97,70
;;;2018;Cancer du sein;Hauts-de-France;65,50
;;;2018;Cardiopathies ischémiques;Hauts-de-France;168,78
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Hauts-de-France;269,32
;;;2018;Diabète;Hauts-de-France;207,37
;;;2018;Maladie chronique du foie;Hauts-de-France;89,49
;;;2018;Maladie de Parkinson;Hauts-de-France;60,69
;;;2018;Maladie hypertensive;Hauts-de-France;278,46
;;;2018;Maladies vasculaires cérébrales;Hauts-de-France;151,22
;;;2018;Sida;Hauts-de-France;0,35
;;;2018;Alzheimer;Martinique;128,39
;;;2018;Asthme;Martinique;5,35
;;;2018;Cancer de la prostate;Martinique;100,68
;;;2018;Cancer de la trachée, des bronches et du poumon;Martinique;43,12
;;;2018;Cancer du côlon-rectum;Martinique;66,64
;;;2018;Cancer du sein;Martinique;46,17
;;;2018;Cardiopathies ischémiques;Martinique;77,83
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Martinique;139,17
;;;2018;Diabète;Martinique;260,22
;;;2018;Maladie chronique du foie;Martinique;26,20
;;;2018;Maladie de Parkinson;Martinique;53,53
;;;2018;Maladie hypertensive;Martinique;316,65
;;;2018;Maladies vasculaires cérébrales;Martinique;198,94
;;;2018;Sida;Martinique;3,97
;;;2018;Alzheimer;Normandie;132,03
;;;2018;Asthme;Normandie;3,20
;;;2018;Cancer de la prostate;Normandie;54,16
;;;2018;Cancer de la trachée, des bronches et du poumon;Normandie;152,96
;;;2018;Cancer du côlon-rectum;Normandie;80,48
;;;2018;Cancer du sein;Normandie;60,87
;;;2018;Cardiopathies ischémiques;Normandie;178,20
